25,29,20,2,31,22,2,15,9,13,26
10,1,9,22,22,21,18,24,15,20,2
4,2,19,23,5,8,22,20,8,16,5
30,14,4,20,11,25,1,26,22,19,24
10,23,11,26,20,13,9,31,25,10,15
16,12,8,24,8,27,22,14,22,25,19
5,3,17,9,27,30,2,9,14,20,30
28,1,17,0,29,23,4,1,26,2,2
10,12,16,26,25,30,25,31,31,0,19
11,11,22,28,21,13,0,9,31,25,26
29,26,15,7,25,2,15,30,24,29,28
14,16,10,30,1,13,5,20,12,29,12
17,18,5,20,2,21,22,16,23,24,25
29,6,2,24,24,27,1,19,28,22,13
15,21,9,9,14,23,23,2,22,10,13
1,21,3,6,17,6,19,13,25,4,16
25,13,31,1,2,20,29,5,27,31,13
15,15,24,20,13,17,0,2,24,31,0
25,15,15,8,2,29,15,22,17,2,13
4,2,4,10,8,28,16,23,0,3,1
2,2,17,19,7,13,29,13,18,15,28
19,1,9,15,30,27,6,22,4,31,0
16,29,1,11,8,7,0,13,13,21,13
11,21,10,10,2,23,21,19,21,25,1
25,28,15,16,26,15,25,24,18,6,30
15,19,21,29,31,20,5,5,4,30,16
9,27,22,22,26,20,24,2,17,16,8
15,10,28,6,7,2,12,1,1,9,9
10,21,13,26,10,16,7,22,23,24,26
6,30,25,24,0,14,1,17,5,7,0
26,0,20,6,12,15,4,0,4,23,22
20,21,0,13,3,8,16,9,31,8,5
31,23,9,25,20,27,22,12,20,13,26
17,2,11,4,18,29,0,9,18,17,7
12,4,18,31,15,15,3,21,29,22,26
8,6,11,7,16,13,22,23,24,30,4
12,31,9,9,0,16,20,10,8,11,5
23,5,10,1,16,1,10,21,25,26,23
0,26,6,7,7,3,8,4,10,31,31
20,7,29,11,9,1,17,16,16,6,2
24,17,30,31,4,10,19,30,31,23,6
16,9,11,25,8,15,2,6,15,21,5
21,25,31,5,30,30,29,13,1,24,21
11,0,5,13,17,1,27,12,11,15,20
13,8,24,12,17,0,13,8,4,14,19
18,3,24,12,18,9,25,15,26,20,23
31,29,0,17,16,16,27,22,6,19,12
6,4,29,9,1,25,23,23,17,19,8
31,10,15,6,27,19,11,3,28,1,14
7,31,21,6,27,2,8,3,19,27,13
18,19,8,19,29,19,6,30,4,27,16
21,12,11,1,9,18,10,4,2,2,10
15,7,13,25,10,29,6,5,9,26,19
